strategy,run_id,length,steps
greedy,103,26,353
greedy,104,46,758
greedy,105,36,441
greedy,106,25,243
greedy,107,43,520
greedy,108,11,96
greedy,109,20,218
greedy,110,22,255
greedy,111,47,707
greedy,112,24,240
greedy,113,57,785
greedy,114,16,177
greedy,115,25,235
greedy,116,23,237
greedy,117,11,92
greedy,118,34,382
greedy,119,17,163
greedy,120,13,118
greedy,121,38,438
greedy,122,41,544
greedy,123,57,748
greedy,124,21,229
greedy,125,37,550
greedy,126,20,195
greedy,127,35,448
greedy,128,15,138
greedy,129,33,418
greedy,130,34,384
greedy,131,14,134
greedy,132,25,328
greedy,133,17,184
greedy,134,23,247
greedy,135,31,380
greedy,136,28,293
greedy,137,17,120
greedy,138,26,317
greedy,139,29,375
greedy,140,28,324
greedy,141,11,92
greedy,142,56,786
greedy,143,28,276
greedy,144,29,392
greedy,145,30,355
greedy,146,51,690
greedy,147,44,501
greedy,148,41,488
greedy,149,27,309
greedy,150,27,306
greedy,151,40,502
greedy,152,37,479
greedy,153,31,385
greedy,154,24,265
greedy,155,37,551
greedy,156,20,232
greedy,157,31,349
greedy,158,16,204
greedy,159,19,196
greedy,160,37,449
greedy,161,22,238
greedy,162,27,261
greedy,163,27,319
greedy,164,21,217
greedy,165,31,373
greedy,166,20,212
greedy,167,37,449
greedy,168,34,382
greedy,169,23,232
greedy,170,43,645
greedy,171,32,413
greedy,172,47,633
greedy,173,44,628
greedy,174,30,401
greedy,175,26,325
greedy,176,38,447
greedy,177,51,697
greedy,178,46,699
greedy,179,24,298
greedy,180,11,96
greedy,181,36,407
greedy,182,25,222
greedy,183,35,443
greedy,184,23,223
greedy,185,32,446
greedy,186,41,545
greedy,187,47,588
greedy,188,37,490
greedy,189,24,304
greedy,190,32,391
greedy,191,33,401
greedy,192,26,281
greedy,193,39,505
greedy,194,19,232
greedy,195,11,117
greedy,196,36,429
greedy,197,34,395
greedy,198,15,133
greedy,199,33,382
greedy,200,29,286
astar,1,58,671
astar,2,49,712
astar,3,72,926
astar,4,54,707
